match_id,date,stage,group,home_team,away_team,home_score,away_score,status,winner,venue,venue_city,venue_country,total_goals,is_draw,is_high_scoring
537327,2026-06-11,GROUP_STAGE,GROUP_A,Mexico,South Africa,2,0,FINISHED,HOME_TEAM,,,Unknown,2,False,False
537328,2026-06-12,GROUP_STAGE,GROUP_A,South Korea,Czechia,2,1,FINISHED,HOME_TEAM,,,Unknown,3,False,False
537333,2026-06-12,GROUP_STAGE,GROUP_B,Canada,Bosnia-Herzegovina,1,1,FINISHED,DRAW,,,Unknown,2,True,False
537345,2026-06-13,GROUP_STAGE,GROUP_D,United States,Paraguay,4,1,FINISHED,HOME_TEAM,,,Unknown,5,False,True
537334,2026-06-13,GROUP_STAGE,GROUP_B,Qatar,Switzerland,1,1,FINISHED,DRAW,,,Unknown,2,True,False
537339,2026-06-13,GROUP_STAGE,GROUP_C,Brazil,Morocco,1,1,FINISHED,DRAW,,,Unknown,2,True,False
537340,2026-06-14,GROUP_STAGE,GROUP_C,Haiti,Scotland,0,1,FINISHED,AWAY_TEAM,,,Unknown,1,False,False
537346,2026-06-14,GROUP_STAGE,GROUP_D,Australia,Turkey,2,0,FINISHED,HOME_TEAM,,,Unknown,2,False,False
537351,2026-06-14,GROUP_STAGE,GROUP_E,Germany,Curaçao,7,1,FINISHED,HOME_TEAM,,,Unknown,8,False,True
537357,2026-06-14,GROUP_STAGE,GROUP_F,Netherlands,Japan,2,2,FINISHED,DRAW,,,Unknown,4,True,True
537352,2026-06-14,GROUP_STAGE,GROUP_E,Ivory Coast,Ecuador,1,0,FINISHED,HOME_TEAM,,,Unknown,1,False,False
537358,2026-06-15,GROUP_STAGE,GROUP_F,Sweden,Tunisia,5,1,FINISHED,HOME_TEAM,,,Unknown,6,False,True
537369,2026-06-15,GROUP_STAGE,GROUP_H,Spain,Cape Verde Islands,0,0,FINISHED,DRAW,,,Unknown,0,True,False
537363,2026-06-15,GROUP_STAGE,GROUP_G,Belgium,Egypt,1,1,FINISHED,DRAW,,,Unknown,2,True,False
537370,2026-06-15,GROUP_STAGE,GROUP_H,Saudi Arabia,Uruguay,1,1,FINISHED,DRAW,,,Unknown,2,True,False
537364,2026-06-16,GROUP_STAGE,GROUP_G,Iran,New Zealand,2,2,FINISHED,DRAW,,,Unknown,4,True,True
537391,2026-06-16,GROUP_STAGE,GROUP_I,France,Senegal,3,1,FINISHED,HOME_TEAM,,,Unknown,4,False,True
537392,2026-06-16,GROUP_STAGE,GROUP_I,Iraq,Norway,1,4,FINISHED,AWAY_TEAM,,,Unknown,5,False,True
537397,2026-06-17,GROUP_STAGE,GROUP_J,Argentina,Algeria,3,0,FINISHED,HOME_TEAM,,,Unknown,3,False,False
537398,2026-06-17,GROUP_STAGE,GROUP_J,Austria,Jordan,3,1,FINISHED,HOME_TEAM,,,Unknown,4,False,True
537403,2026-06-17,GROUP_STAGE,GROUP_K,Portugal,Congo DR,1,1,FINISHED,DRAW,,,Unknown,2,True,False
537409,2026-06-17,GROUP_STAGE,GROUP_L,England,Croatia,4,2,FINISHED,HOME_TEAM,,,Unknown,6,False,True
537410,2026-06-17,GROUP_STAGE,GROUP_L,Ghana,Panama,1,0,FINISHED,HOME_TEAM,,,Unknown,1,False,False
537404,2026-06-18,GROUP_STAGE,GROUP_K,Uzbekistan,Colombia,1,3,FINISHED,AWAY_TEAM,,,Unknown,4,False,True
537329,2026-06-18,GROUP_STAGE,GROUP_A,Czechia,South Africa,1,1,FINISHED,DRAW,,,Unknown,2,True,False
537335,2026-06-18,GROUP_STAGE,GROUP_B,Switzerland,Bosnia-Herzegovina,4,1,FINISHED,HOME_TEAM,,,Unknown,5,False,True
537336,2026-06-18,GROUP_STAGE,GROUP_B,Canada,Qatar,6,0,FINISHED,HOME_TEAM,,,Unknown,6,False,True
537330,2026-06-19,GROUP_STAGE,GROUP_A,Mexico,South Korea,1,0,FINISHED,HOME_TEAM,,,Unknown,1,False,False
537348,2026-06-19,GROUP_STAGE,GROUP_D,United States,Australia,2,0,FINISHED,HOME_TEAM,,,Unknown,2,False,False
537342,2026-06-19,GROUP_STAGE,GROUP_C,Scotland,Morocco,0,1,FINISHED,AWAY_TEAM,,,Unknown,1,False,False
537341,2026-06-20,GROUP_STAGE,GROUP_C,Brazil,Haiti,3,0,FINISHED,HOME_TEAM,,,Unknown,3,False,False
537347,2026-06-20,GROUP_STAGE,GROUP_D,Turkey,Paraguay,0,1,FINISHED,AWAY_TEAM,,,Unknown,1,False,False
537359,2026-06-20,GROUP_STAGE,GROUP_F,Netherlands,Sweden,5,1,FINISHED,HOME_TEAM,,,Unknown,6,False,True
537353,2026-06-20,GROUP_STAGE,GROUP_E,Germany,Ivory Coast,2,1,FINISHED,HOME_TEAM,,,Unknown,3,False,False
537354,2026-06-21,GROUP_STAGE,GROUP_E,Ecuador,Curaçao,0,0,FINISHED,DRAW,,,Unknown,0,True,False
537360,2026-06-21,GROUP_STAGE,GROUP_F,Tunisia,Japan,0,4,FINISHED,AWAY_TEAM,,,Unknown,4,False,True
537371,2026-06-21,GROUP_STAGE,GROUP_H,Spain,Saudi Arabia,4,0,FINISHED,HOME_TEAM,,,Unknown,4,False,True
537365,2026-06-21,GROUP_STAGE,GROUP_G,Belgium,Iran,0,0,FINISHED,DRAW,,,Unknown,0,True,False
537372,2026-06-21,GROUP_STAGE,GROUP_H,Uruguay,Cape Verde Islands,2,2,FINISHED,DRAW,,,Unknown,4,True,True
537366,2026-06-22,GROUP_STAGE,GROUP_G,New Zealand,Egypt,1,3,FINISHED,AWAY_TEAM,,,Unknown,4,False,True
537399,2026-06-22,GROUP_STAGE,GROUP_J,Argentina,Austria,2,0,FINISHED,HOME_TEAM,,,Unknown,2,False,False
537393,2026-06-22,GROUP_STAGE,GROUP_I,France,Iraq,3,0,FINISHED,HOME_TEAM,,,Unknown,3,False,False
537394,2026-06-23,GROUP_STAGE,GROUP_I,Norway,Senegal,3,2,FINISHED,HOME_TEAM,,,Unknown,5,False,True
